
2024/05/27 (18:36:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/29 (12:36:20) | ===> btop++ v.1.3.2
2024/05/29 (12:36:20) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/29 (12:36:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/29 (12:36:20) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/29 (12:36:20) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/29 (12:36:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/30 (15:43:46) | ===> btop++ v.1.3.2
2024/05/30 (15:43:46) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/30 (15:43:46) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/30 (15:43:46) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/30 (15:43:46) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/30 (15:43:46) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/30 (17:20:26) | ===> btop++ v.1.3.2
2024/05/30 (17:20:26) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/30 (17:20:26) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/30 (17:20:26) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/30 (17:20:26) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/30 (17:20:26) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/31 (17:54:29) | ===> btop++ v.1.3.2
2024/05/31 (17:54:29) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/31 (17:54:29) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/31 (17:54:29) | WARNING: ROCm SMI: Failed to get VRAM utilization

2024/05/31 (17:54:31) | ===> btop++ v.1.3.2
2024/05/31 (17:54:31) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/31 (17:54:31) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/31 (17:54:31) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/31 (17:54:31) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/31 (17:54:31) | WARNING: ROCm SMI: Failed to get PCIe throughput
2024/05/31 (17:54:37) | ERROR: Stall in Runner thread, restarting!

2024/05/31 (17:54:40) | ===> btop++ v.1.3.2
2024/05/31 (17:54:40) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/31 (17:54:40) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/31 (17:54:40) | WARNING: ROCm SMI: Failed to get VRAM utilization

2024/05/31 (17:54:41) | ===> btop++ v.1.3.2
2024/05/31 (17:54:41) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/31 (17:54:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/31 (17:54:41) | WARNING: ROCm SMI: Failed to get VRAM utilization

2024/05/31 (17:54:42) | ===> btop++ v.1.3.2
